time angle speed
0 0 0
0.002424955368041992 0 0
0.007027864456176758 0 0
0.010553121566772461 0 0
0.014280319213867188 2 16
0.023383140563964844 2 46
0.028600692749023438 3 34
0.03632044792175293 5 198
0.0402681827545166 6 98
0.044064998626708984 7 232
0.05295062065124512 11 301
0.05942344665527344 13 344
0.06716775894165039 16 370
0.07075142860412598 17 386
0.07697129249572754 20 404
0.08056020736694336 21 418
0.08432579040527344 24 437
0.09063100814819336 26 453
0.09442567825317383 28 466
0.0988762378692627 30 473
0.10243701934814453 32 485
0.107086181640625 36 498
0.11290955543518066 38 510
0.11719846725463867 40 520
0.12073659896850586 42 528
0.12452077865600586 44 543
0.12907910346984863 50 561
0.13935184478759766 52 565
0.14362287521362305 54 567
0.1504206657409668 58 575
0.15475010871887207 62 584
0.15967416763305664 64 586
0.16362404823303223 69 597
0.17098045349121094 71 601
0.17471933364868164 74 605
0.1810917854309082 77 607
0.1849040985107422 80 608
0.1893472671508789 82 615
0.19306492805480957 85 612
0.19760417938232422 87 614
0.20340609550476074 91 622
0.2077345848083496 94 627
0.21127605438232422 96 626
0.21541666984558105 98 628
0.21952390670776367 101 631
0.22610926628112793 105 628
0.23010993003845215 107 630
0.23374366760253906 110 630
0.23844528198242188 112 637
0.2420969009399414 115 639
0.24772930145263672 119 641
0.2514462471008301 122 645
0.2554595470428467 124 643
0.26166439056396484 128 641
0.26613831520080566 130 643
0.26968884468078613 133 643
0.2734568119049072 136 643
0.2777576446533203 140 648
0.2836277484893799 142 655
0.28859567642211914 145 651
0.2921943664550781 148 649
0.2964613437652588 150 648
0.3025844097137451 154 651
0.30702829360961914 158 646
0.31058835983276367 159 651
0.31436920166015625 163 651
0.3188908100128174 164 651
0.3245394229888916 170 658
0.3290278911590576 172 655
0.33270788192749023 174 655
0.3370819091796875 178 654
0.3406486511230469 179 655
0.34688615798950195 184 654
0.35059237480163574 185 654
0.3543570041656494 189 655
0.3607497215270996 193 657
0.36450624465942383 196 657
0.36899471282958984 198 658
0.37267374992370605 200 655
0.3770885467529297 204 653
0.38292407989501953 208 657
0.3872509002685547 210 659
0.3908376693725586 213 660
0.3945736885070801 216 661
0.399050235748291 218 661
0.4047207832336426 222 657
0.40936994552612305 225 656
0.41311192512512207 228 657
0.417407751083374 230 658
0.4210376739501953 233 659
0.4272463321685791 237 662
0.4308605194091797 239 663
0.434617280960083 242 662
0.4409675598144531 246 661
0.44472455978393555 248 661
0.44919919967651367 251 659
0.45820045471191406 256 659
0.4617197513580322 259 662
0.46808624267578125 263 659
0.4715399742126465 266 663
0.4755215644836426 270 660
0.48048830032348633 271 659
0.48627185821533203 275 656
0.49007749557495117 278 659
0.4935872554779053 280 661
0.5001630783081055 284 664
0.5037171840667725 287 663
0.5084724426269531 290 666
0.5121161937713623 292 662
0.516399621963501 295 658
0.5221984386444092 299 660
0.5268521308898926 302 660
0.5304710865020752 304 663
0.5342211723327637 307 662
0.538701057434082 310 665
0.5443408489227295 315 662
0.5488605499267578 316 663
0.5524494647979736 318 662
0.5571036338806152 322 661
0.5606954097747803 324 660
0.5672314167022705 329 659
0.5708110332489014 332 661
0.5745995044708252 334 661
0.5790214538574219 337 663
0.5826489925384521 338 662
0.5887451171875 342 661
0.5923299789428711 345 662
0.5968668460845947 348 659
0.6026504039764404 352 660
0.6070523262023926 356 662
0.6106069087982178 357 660
0.6143472194671631 361 660
0.6188361644744873 362 662
0.624488353729248 368 659
0.6289994716644287 370 661
0.632655143737793 372 660
0.6370372772216797 376 659
0.6427230834960938 378 662
0.6473019123077393 382 663
0.6508650779724121 385 663
0.6546125411987305 388 662
0.6591060161590576 390 663
0.6647324562072754 394 658
0.6692461967468262 397 660
0.6730070114135742 399 663
0.6772642135620117 402 660
0.6808366775512695 404 662
0.6870191097259521 408 663
0.6905913352966309 410 663
0.6944282054901123 414 660
0.7007904052734375 418 657
0.7045655250549316 420 660
0.7091853618621826 423 657
0.7129321098327637 426 661
0.7172443866729736 428 662
0.7230377197265625 432 666
0.7273893356323242 435 662
0.7309274673461914 438 660
0.7346827983856201 440 661
0.7391335964202881 443 661
0.7447421550750732 447 660
0.7492542266845703 450 658
0.7530083656311035 452 663
0.7572536468505859 455 664
0.7607874870300293 458 662
0.7669811248779297 462 659
0.7705624103546143 463 660
0.7743041515350342 468 658
0.7805609703063965 470 662
0.7843143939971924 474 661
0.7888102531433105 475 662
0.7923746109008789 477 661
0.7968418598175049 480 663
0.8025758266448975 484 660
0.8071117401123047 488 658
0.8106918334960938 489 658
0.8144533634185791 493 660
0.8190970420837402 497 661
0.8247504234313965 500 662
0.8293671607971191 502 664
0.833137035369873 505 661
0.8374454975128174 508 662
0.8432178497314453 512 660
0.8476064205169678 514 657
0.8511426448822021 520 663
0.8595154285430908 522 659
0.8632874488830566 525 659
0.8682267665863037 528 664
0.8737454414367676 532 663
0.8786523342132568 534 660
0.8822119235992432 537 660
0.886479377746582 540 661
0.8904552459716797 542 659
0.8970210552215576 548 661
0.9005765914916992 549 662
0.9043095111846924 553 663
0.9088070392608643 554 660
0.9123601913452148 557 661
0.918269157409668 561 661
0.9217672348022461 563 659
0.9262537956237793 566 660
0.9321408271789551 570 662
0.9367516040802002 572 662
0.9403486251831055 575 665
0.944087028503418 578 665
0.9507112503051758 583 662
0.9545109272003174 586 658
0.9589769840240479 588 658
0.9626133441925049 590 662
0.9669919013977051 594 658
0.972684383392334 596 666
0.9770956039428711 600 665
0.98069167137146 602 663
0.9844305515289307 606 663
0.9888918399810791 607 661
0.9945335388183594 612 658
0.9990274906158447 615 663
