time angle speed
0 0 0
0.0024442672729492188 0 0
0.007516145706176758 0 3
0.012166261672973633 1 8
0.015887975692749023 1 21
0.02025604248046875 1 14
0.026038646697998047 3 42
0.030328750610351562 3 167
0.03390383720397949 5 61
0.037676334381103516 7 289
0.048894405364990234 9 337
0.057327985763549805 13 380
0.061827659606933594 15 393
0.06550836563110352 16 417
0.07011055946350098 19 442
0.07373905181884766 22 490
0.08450770378112793 26 503
0.08909082412719727 29 520
0.0930330753326416 31 539
0.0965263843536377 33 554
0.1034400463104248 37 573
0.1072397232055664 40 586
0.11185240745544434 43 594
0.11553835868835449 44 609
0.11992287635803223 48 614
0.12577223777770996 51 636
0.13035893440246582 54 639
0.13392186164855957 57 648
0.13767194747924805 59 654
0.1421489715576172 62 664
0.14777255058288574 66 670
0.1522977352142334 69 680
0.15607666969299316 72 687
0.16042184829711914 75 690
0.16395926475524902 77 698
0.17000579833984375 82 697
0.1736149787902832 85 703
0.1773693561553955 89 709
0.18362998962402344 92 710
0.18742823600769043 95 717
0.19205951690673828 97 723
0.19580793380737305 101 725
0.2001044750213623 105 729
0.20592617988586426 108 732
0.21023917198181152 111 733
0.21382355690002441 114 735
0.21756243705749512 117 738
0.22214794158935547 121 744
0.22780537605285645 124 744
0.2324674129486084 127 741
0.2362079620361328 130 746
0.24049830436706543 133 745
0.24410319328308105 138 745
0.25123000144958496 141 751
0.254880428314209 144 754
0.2591378688812256 147 757
0.2629210948944092 150 757
0.2664332389831543 154 756
0.27229738235473633 157 758
0.27609968185424805 161 759
0.2804291248321533 165 762
0.28627490997314453 168 764
0.2908935546875 171 762
0.29431843757629395 174 764
0.2983286380767822 177 764
0.30455756187438965 182 765
0.30908775329589844 185 763
0.3130626678466797 188 764
0.316556453704834 191 772
0.3212244510650635 194 772
0.3269474506378174 199 768
0.33147716522216797 202 770
0.33507227897644043 205 767
0.3396570682525635 208 765
0.3432497978210449 211 771
0.3498530387878418 217 771
0.3534092903137207 219 773
0.35715675354003906 223 773
0.3618471622467041 227 773
0.3655374050140381 228 769
0.37166500091552734 233 769
0.3752443790435791 236 771
0.37974071502685547 242 775
0.3855419158935547 243 777
0.3899414539337158 248 778
0.39353322982788086 250 777
0.3973073959350586 255 776
0.4017801284790039 259 772
0.4074106216430664 262 779
0.4119608402252197 265 777
0.41569948196411133 267 777
0.42004990577697754 271 775
0.4236299991607666 276 776
0.43037843704223633 279 777
0.4339313507080078 282 776
0.43767881393432617 285 776
0.4421393871307373 289 780
0.44592857360839844 293 777
0.4517943859100342 296 776
0.45545148849487305 298 775
0.461820125579834 304 772
0.46546435356140137 306 776
0.46985602378845215 311 780
0.47339940071105957 312 779
0.47719836235046387 317 781
0.48450493812561035 323 778
0.49164867401123047 326 776
0.4973866939544678 332 779
0.5020351409912109 335 782
0.5057754516601562 339 781
0.5102217197418213 342 779
0.5137641429901123 346 774
0.5203206539154053 349 777
0.5238850116729736 353 777
0.5276229381561279 355 778
0.532097339630127 359 780
0.5358529090881348 363 783
0.5416989326477051 365 784
0.5452744960784912 368 782
0.5499305725097656 374 777
0.5557243824005127 377 777
0.5600669384002686 381 778
0.5636179447174072 384 778
0.5673654079437256 387 782
0.571824312210083 391 783
0.5774579048156738 395 781
0.5819499492645264 398 777
0.585749626159668 401 776
0.5900845527648926 404 780
0.5958981513977051 409 782
0.6002237796783447 412 783
0.6045567989349365 415 780
0.6090621948242188 418 783
0.6131112575531006 421 778
0.6182751655578613 426 781
0.6225996017456055 429 777
0.6263527870178223 432 781
0.632598876953125 437 781
0.6363677978515625 440 777
0.6409366130828857 443 779
0.6443731784820557 446 779
0.6483540534973145 449 777
0.6545021533966064 454 780
0.6589689254760742 457 782
0.6625144481658936 460 783
0.6662716865539551 463 782
0.6709911823272705 467 780
0.6765203475952148 473 781
0.6818361282348633 476 780
0.6855909824371338 477 784
0.6899807453155518 482 779
0.6935465335845947 487 781
0.7000768184661865 490 781
0.703646183013916 493 779
0.7074105739593506 496 777
0.7118568420410156 499 778
0.7155046463012695 501 779
0.7214529514312744 505 779
0.7250256538391113 509 786
0.7301173210144043 513 782
0.7337331771850586 516 776
0.7397708892822266 521 780
0.7433149814605713 523 781
0.7470433712005615 526 778
0.7535617351531982 532 781
0.7573294639587402 535 778
0.7618508338928223 538 783
0.7654762268066406 540 778
0.769860029220581 545 776
0.7755353450775146 547 779
0.7799315452575684 552 780
0.7835173606872559 554 782
0.7872934341430664 559 783
0.791966438293457 561 780
0.7976837158203125 566 779
0.8022005558013916 569 779
