time angle speed
0 0 0
0.0023729801177978516 0 0
0.007494688034057617 0 3
0.012207508087158203 1 3
0.015897274017333984 1 9
0.02024698257446289 1 9
0.025992393493652344 3 24
0.030300140380859375 4 144
0.03389763832092285 5 38
0.03766918182373047 6 204
0.042144775390625 7 256
0.04774880409240723 10 315
0.05226254463195801 11 358
0.056002140045166016 13 399
0.060297489166259766 15 404
0.06388282775878906 17 455
0.07007193565368652 20 479
0.07373309135437012 22 498
0.07747864723205566 25 523
0.08337616920471191 27 552
0.0871434211730957 31 568
0.09164953231811523 32 599
0.09729981422424316 37 617
0.10179018974304199 39 620
0.1054232120513916 41 637
0.10980987548828125 45 652
0.11569881439208984 49 678
0.12006282806396484 52 692
0.12362170219421387 55 698
0.12737154960632324 58 709
0.13202571868896484 61 725
0.13765358924865723 65 730
0.1421372890472412 68 737
0.14588069915771484 71 747
0.15021657943725586 74 752
0.15375685691833496 77 760
0.15987658500671387 82 773
0.16347646713256836 83 781
0.16724228858947754 88 789
0.17360758781433105 93 790
0.17739391326904297 96 799
0.1818397045135498 100 800
0.18552255630493164 101 807
0.19006705284118652 106 812
0.19991636276245117 114 817
0.20353150367736816 118 817
0.207322359085083 121 828
0.21399807929992676 126 833
0.21777820587158203 129 837
0.2224109172821045 133 840
0.22616076469421387 136 839
0.23047280311584473 139 843
0.23629021644592285 145 842
0.24088191986083984 148 848
0.2443382740020752 151 848
0.2483065128326416 155 854
0.25257420539855957 158 855
0.25921201705932617 163 858
0.2630577087402344 167 858
0.26684045791625977 170 857
0.2713007926940918 174 859
0.2749474048614502 177 862
0.2805616855621338 183 864
0.2841067314147949 186 867
0.28823161125183105 189 864
0.29442834854125977 195 866
0.29836153984069824 198 869
0.30246448516845703 201 874
0.3062307834625244 205 874
0.3109557628631592 209 872
0.31652212142944336 214 869
0.3212466239929199 217 873
0.324908971786499 221 873
0.3292701244354248 224 876
0.33508992195129395 229 878
0.3397836685180664 235 876
0.34337353706359863 237 876
0.3471646308898926 242 876
0.35170912742614746 243 876
0.35735106468200684 251 883
0.3618600368499756 254 883
0.3655393123626709 256 883
0.37006068229675293 261 877
0.3736710548400879 265 876
0.37970805168151855 268 879
0.3833503723144531 272 882
0.3871166706085205 277 881
0.39354562759399414 283 884
0.3973202705383301 286 883
0.4019160270690918 289 884
0.40567588806152344 291 882
0.41002941131591797 297 885
0.4158501625061035 302 888
0.42019033432006836 305 886
0.42374706268310547 309 880
0.4275031089782715 313 883
0.4321460723876953 316 884
0.4377760887145996 321 888
0.44226908683776855 325 889
0.44602298736572266 329 886
0.45029211044311523 332 886
0.4538693428039551 335 883
0.4599161148071289 341 883
0.46350669860839844 343 884
0.4672865867614746 348 889
0.47382140159606934 353 887
0.47760891914367676 357 885
0.48215675354003906 360 885
0.4858968257904053 364 889
0.4903678894042969 367 886
0.4961659908294678 373 887
0.5004534721374512 376 888
0.5039796829223633 380 888
0.5077188014984131 383 885
0.5121772289276123 387 887
0.5178167819976807 393 887
0.5222995281219482 396 889
0.5260860919952393 399 889
0.530402421951294 403 885
0.5339276790618896 407 885
0.5399575233459473 412 884
0.5435290336608887 415 888
0.5472745895385742 419 891
0.5532040596008301 423 893
0.556952714920044 426 886
0.5614352226257324 430 885
0.567054033279419 435 884
0.5716016292572021 439 886
0.5751619338989258 442 888
0.5796327590942383 446 890
0.5852572917938232 451 888
0.5897607803344727 456 887
0.5933303833007812 463 889
0.6019437313079834 467 893
0.6056687831878662 469 891
0.6105117797851562 474 892
0.6163003444671631 479 887
0.6210224628448486 483 885
0.624525785446167 487 889
0.629021406173706 490 893
0.632549524307251 494 886
0.6391794681549072 499 886
0.6435649394989014 504 883
0.6473112106323242 508 887
0.6518409252166748 511 890
0.6555135250091553 513 891
0.6614639759063721 519 893
0.6650454998016357 522 890
0.6708519458770752 527 885
0.6745359897613525 531 890
0.6790361404418945 535 889
0.6825737953186035 540 891
0.6891214847564697 543 892
0.6928985118865967 547 885
0.696418285369873 551 891
0.701016902923584 554 887
0.704521894454956 559 889
0.7112398147583008 563 891
0.7148945331573486 567 887
0.7201101779937744 572 889
0.7236905097961426 575 888
0.7299280166625977 581 888
0.7335114479064941 583 889
0.7373225688934326 588 890
0.743671178817749 593 888
0.747450590133667 597 888
0.7519638538360596 601 889
0.7556991577148438 602 889
0.7600226402282715 607 892
0.7658076286315918 613 891
0.7701139450073242 617 887
0.7736778259277344 620 886
0.7774293422698975 623 882
0.7819192409515381 629 889
0.7876670360565186 633 891
0.7923176288604736 636 891
0.7960526943206787 639 892
0.8003735542297363 643 890
0.8039090633392334 649 888
0.8104705810546875 652 886
0.8140084743499756 655 894
