time angle speed
0 0 0
0.002605438232421875 0 0
0.007393836975097656 0 2
0.012293815612792969 1 2
0.015855789184570312 1 2
0.02018117904663086 1 6
0.025925159454345703 1 6
0.030254602432250977 1 12
0.03402829170227051 2 26
0.03757953643798828 3 68
0.04215049743652344 3 98
0.04762625694274902 4 44
0.05257153511047363 5 92
0.05611753463745117 5 119
0.06055307388305664 6 149
0.06412267684936523 7 162
0.07078194618225098 8 180
0.07442760467529297 9 187
0.07820534706115723 10 196
0.0827035903930664 10 192
0.08626389503479004 11 204
0.0922539234161377 13 214
0.09588098526000977 13 220
0.10015153884887695 15 228
0.1060185432434082 16 233
0.11032390594482422 17 237
0.11418628692626953 18 244
0.11791491508483887 19 245
0.12234354019165039 20 249
0.12804484367370605 21 254
0.13271856307983398 23 255
0.13634252548217773 23 258
0.14082551002502441 25 260
0.1443922519683838 25 265
0.15096187591552734 28 262
0.15456938743591309 28 266
0.1584148406982422 30 269
0.16287994384765625 31 268
0.1665952205657959 31 271
0.17258691787719727 33 275
0.17615389823913574 34 277
0.18124699592590332 36 279
0.18482398986816406 37 284
0.19103145599365234 39 281
0.19461727142333984 40 284
0.19838261604309082 41 288
0.20476341247558594 43 286
0.20860719680786133 44 284
0.2130887508392334 45 283
0.21680545806884766 46 283
0.22110462188720703 47 282
0.22698020935058594 49 285
0.23133540153503418 50 288
0.23490047454833984 51 289
0.24022388458251953 53 289
0.24402666091918945 54 289
0.2507336139678955 55 290
0.25441765785217285 57 288
0.2581520080566406 58 291
0.2627224922180176 59 294
0.266312837600708 60 296
0.2722952365875244 62 290
0.27593994140625 63 293
0.28021717071533203 65 293
0.28611230850219727 66 291
0.2905750274658203 67 290
0.2941765785217285 69 291
0.3025674819946289 71 289
0.30614709854125977 72 291
0.312511682510376 74 292
0.31607675552368164 75 290
0.320920467376709 77 292
0.32674694061279297 78 292
0.33114147186279297 79 292
0.3347480297088623 81 294
0.33853697776794434 82 294
0.3430042266845703 83 296
0.34863948822021484 85 294
0.35312724113464355 86 296
0.3568899631500244 87 297
0.361191987991333 89 297
0.3647620677947998 89 297
0.37102246284484863 91 293
0.37459611892700195 93 293
0.37836241722106934 94 290
0.38472843170166016 95 290
0.38852858543395996 97 294
0.393007755279541 98 291
0.39676570892333984 98 292
0.4011709690093994 100 295
0.40700578689575195 102 295
0.4113175868988037 103 293
0.41487789154052734 104 293
0.41860175132751465 105 293
0.42308712005615234 107 292
0.42874646186828613 109 291
0.4333984851837158 109 296
0.437114953994751 111 297
0.4415769577026367 112 296
0.44510602951049805 114 298
0.4520256519317627 115 297
0.45556187629699707 116 292
0.46004724502563477 117 292
0.46360278129577637 119 292
0.4673647880554199 120 290
0.4731919765472412 121 293
0.4769434928894043 123 293
0.4813268184661865 124 294
0.4871103763580322 125 295
0.4916036128997803 127 295
0.495145320892334 128 293
0.49891138076782227 129 294
0.5033671855926514 131 293
0.50937819480896 132 295
0.5134716033935547 133 296
0.5172152519226074 134 295
0.5215003490447998 135 297
0.5272650718688965 137 295
0.5316162109375 139 295
0.5351746082305908 140 293
0.5393311977386475 141 293
0.5434346199035645 142 291
0.5500130653381348 144 294
0.553978443145752 145 290
0.5574843883514404 146 291
0.5620427131652832 147 291
0.5655553340911865 149 290
0.5716218948364258 150 294
0.5753219127655029 151 293
0.5792880058288574 153 295
0.5854041576385498 154 295
0.5894045829772949 155 294
0.5934762954711914 157 296
0.5972385406494141 158 296
0.6015422344207764 159 293
0.6072957515716553 161 292
0.6120216846466064 162 295
0.6155266761779785 163 293
0.619981050491333 164 294
0.6234855651855469 165 293
0.6300549507141113 167 292
0.6335940361022949 169 293
0.6373651027679443 169 293
0.6418952941894531 171 294
0.6453325748443604 173 292
0.6520304679870605 174 293
0.6555242538452148 175 292
0.6600122451782227 176 293
0.6635348796844482 177 294
0.6673977375030518 179 297
0.673393726348877 180 296
0.6771361827850342 181 297
0.6814706325531006 183 295
0.6872811317443848 185 296
0.6915872097015381 185 296
0.6951367855072021 187 297
0.7035810947418213 189 293
0.7073352336883545 191 290
0.7133519649505615 192 291
0.7170970439910889 193 291
0.7229361534118652 195 290
0.7266123294830322 196 291
0.7325334548950195 197 292
0.7382128238677979 200 292
0.7427268028259277 200 294
0.7463102340698242 201 294
0.750786542892456 203 296
0.7543566226959229 204 294
0.7609283924102783 206 296
0.764503002166748 207 294
0.7682850360870361 209 295
0.7727797031402588 210 294
0.7764475345611572 210 297
0.7823367118835449 212 294
0.786116361618042 213 294
0.791942834854126 215 294
0.7955112457275391 216 291
0.7999782562255859 217 293
0.8035178184509277 219 294
0.8101093769073486 220 293
0.8136353492736816 221 291
0.8173749446868896 223 294
0.8219137191772461 224 293
0.8253345489501953 225 296
0.8323237895965576 227 296
0.83597731590271 228 297
0.8402519226074219 229 298
0.8440537452697754 230 298
0.8475747108459473 232 298
0.8535976409912109 233 298
0.8573722839355469 235 297
0.8639130592346191 236 293
0.867499828338623 237 292
0.8720812797546387 239 293
0.875596284866333 240 293
0.8800890445709229 241 293
0.8859703540802002 243 294
0.8902533054351807 244 294
0.8940625190734863 245 294
0.8975543975830078 246 295
0.90212082862854 247 295
0.9076395034790039 249 295
0.9126944541931152 250 293
0.9162702560424805 251 295
0.9207448959350586 253 295
0.9243404865264893 254 298
0.9309244155883789 256 298
0.9344685077667236 257 296
0.9381875991821289 259 295
0.9427227973937988 259 295
0.9462981224060059 261 297
0.9522747993469238 262 292
0.9559035301208496 263 292
0.9601490497589111 265 293
0.965076208114624 266 291
0.9687974452972412 267 294
0.9734737873077393 269 293
0.9800124168395996 270 296
0.9835543632507324 271 295
0.9873278141021729 273 294
0.991633415222168 274 295
0.9951705932617188 276 298
