time angle speed
0 0 0
0.0026221275329589844 0 0
0.0074079036712646484 1 3
0.012008905410766602 1 3
0.015506982803344727 1 8
0.020023822784423828 1 19
0.025960922241210938 2 13
0.030247211456298828 3 22
0.03423309326171875 4 139
0.03805232048034668 5 57
0.042862892150878906 7 196
0.0470736026763916 8 258
0.05300617218017578 9 286
0.05674314498901367 10 298
0.0626065731048584 12 311
0.06616830825805664 14 334
0.07071232795715332 15 366
0.07653284072875977 18 384
0.08095169067382812 20 396
0.08455586433410645 21 399
0.08834576606750488 24 421
0.09468817710876465 27 428
0.09845614433288574 28 445
0.10310649871826172 30 455
0.10686492919921875 32 469
0.11117720603942871 34 482
0.11705303192138672 37 493
0.12153339385986328 39 498
0.12510299682617188 41 504
0.12886524200439453 43 511
0.13336467742919922 45 517
0.1399383544921875 49 522
0.1435258388519287 51 528
0.14730334281921387 53 530
0.15159869194030762 55 537
0.15515995025634766 57 541
0.16147279739379883 61 549
0.16502976417541504 63 553
0.16880583763122559 65 558
0.17534327507019043 69 562
0.17937660217285156 71 561
0.1834733486175537 73 564
0.18723392486572266 75 565
0.19158935546875 78 571
0.19741153717041016 81 571
0.20198774337768555 83 578
0.20551323890686035 86 582
0.21005749702453613 88 585
0.21362709999084473 91 588
0.2202754020690918 94 591
0.2242743968963623 96 585
0.22803401947021484 99 585
0.2324991226196289 101 585
0.23606514930725098 103 589
0.24197673797607422 107 594
0.24552035331726074 109 594
0.25085878372192383 113 597
0.25448083877563477 114 597
0.2605464458465576 118 596
0.2642395496368408 120 594
0.26800966262817383 123 597
0.27438950538635254 126 599
0.2782304286956787 130 599
0.28289294242858887 132 601
0.28658342361450195 133 602
0.2909529209136963 137 604
0.29679179191589355 141 604
0.30110764503479004 143 604
0.3047165870666504 145 605
0.3084433078765869 148 597
0.3128962516784668 150 601
0.31859874725341797 154 602
0.3231077194213867 157 604
0.32695841789245605 159 606
0.3349733352661133 164 609
0.33876466751098633 167 606
0.3446657657623291 170 605
0.34841036796569824 172 605
0.35491466522216797 176 605
0.35870862007141113 178 604
0.36336398124694824 181 608
0.3671112060546875 183 612
0.3714451789855957 186 611
0.37723612785339355 189 612
0.3820078372955322 192 613
0.3855106830596924 194 610
0.3899838924407959 197 609
0.393540620803833 199 607
0.4001917839050293 203 608
0.40423083305358887 205 609
0.40798091888427734 208 610
0.4124906063079834 210 615
0.4160647392272949 213 613
0.4219815731048584 216 611
0.42549848556518555 219 609
0.4299466609954834 221 609
0.43561673164367676 225 608
0.440143346786499 227 610
0.4439425468444824 230 611
0.44750094413757324 232 613
0.45209312438964844 235 615
0.4578862190246582 238 615
0.4625682830810547 241 610
0.4661540985107422 243 608
0.47062158584594727 245 608
0.47422337532043457 248 611
0.48087072372436523 253 609
0.48453450202941895 254 611
0.4882981777191162 258 614
0.4927973747253418 260 614
0.49645328521728516 261 610
0.5024335384368896 265 612
0.5060534477233887 267 609
0.5111477375030518 271 608
0.5147387981414795 273 608
0.520972490310669 277 613
0.5245654582977295 280 613
0.528339147567749 282 612
0.5347206592559814 286 611
0.5385034084320068 288 614
0.5429918766021729 291 610
0.5467395782470703 292 610
0.5510542392730713 296 609
0.5568358898162842 299 611
0.5611257553100586 302 613
0.5647246837615967 304 614
0.5684902667999268 307 612
0.5730283260345459 309 612
0.5786397457122803 313 612
0.5832765102386475 315 608
0.5870022773742676 318 608
0.5913097858428955 320 610
0.5948581695556641 323 611
0.6008963584899902 326 612
0.6044578552246094 327 612
0.6081745624542236 333 614
0.6144239902496338 334 612
0.6181788444519043 337 614
0.6227211952209473 339 610
0.6263134479522705 341 609
0.6308121681213379 346 612
0.636521577835083 347 609
0.6411154270172119 351 611
0.6447064876556396 353 610
0.648463249206543 356 613
0.6529541015625 359 610
0.6585993766784668 362 611
0.6631064414978027 364 612
0.6668708324432373 367 609
0.6712870597839355 369 610
0.6770544052124023 373 611
0.6813864707946777 375 616
0.6849386692047119 378 614
0.6886639595031738 380 613
0.6931166648864746 383 611
0.6987643241882324 386 610
0.7034246921539307 389 609
0.7071688175201416 391 608
0.7114822864532471 393 612
0.7150251865386963 396 613
0.721060037612915 400 614
0.724611759185791 402 614
0.7283554077148438 406 613
0.7375977039337158 409 612
0.742506742477417 412 611
0.7460808753967285 415 609
0.7509307861328125 418 611
0.756782054901123 422 612
0.7613434791564941 424 614
0.7649374008178711 427 614
0.7686915397644043 429 612
0.7733185291290283 433 615
0.7793216705322266 435 612
0.7834734916687012 438 610
0.7873070240020752 440 612
0.7916159629821777 443 611
0.7953124046325684 446 613
0.801995038986206 449 613
0.8054955005645752 451 616
0.8099546432495117 454 612
0.8139944076538086 456 611
0.8175086975097656 460 609
0.8235471248626709 462 607
0.8273003101348877 465 609
0.8315963745117188 468 611
0.8374223709106445 471 612
0.8419802188873291 473 614
0.8454055786132812 476 614
0.8507637977600098 479 615
0.8564629554748535 482 611
0.8608834743499756 485 612
0.8644323348999023 487 613
0.8681666851043701 490 610
0.872692346572876 491 612
0.8783025741577148 497 610
0.8829965591430664 499 616
0.8867294788360596 500 613
0.8910527229309082 504 613
0.8945906162261963 506 615
0.9007763862609863 510 610
0.9043707847595215 511 610
0.9081065654754639 514 613
0.9145991802215576 519 612
0.9183967113494873 521 614
0.9228684902191162 523 615
0.9265105724334717 525 614
0.9309248924255371 529 616
0.9367489814758301 531 612
0.9412524700164795 535 610
0.944791316986084 537 609
0.94852614402771 539 610
0.9530239105224609 543 613
0.9586303234100342 545 615
0.963109016418457 548 615
0.9668800830841064 551 617
0.971193790435791 553 613
0.9747672080993652 557 610
0.9813449382781982 559 612
0.9849064350128174 561 611
0.9886419773101807 564 609
0.9931378364562988 567 617
0.9969227313995361 570 614
